"","Age","Gender","Country","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"13",42,"F","United States",NA,"Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
"14",36,"M","United States",NA,"Yes","No","Never","500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"15",27,"M","Canada",NA,"No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"16",29,"F","United States",NA,"Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No"
"17",23,"M","United Kingdom",NA,"No","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"18",32,"M","United States",NA,"No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No"
"19",46,"M","United States","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes"
"20",36,"M","France","Yes","Yes","No",NA,"6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"21",29,"M","United States","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No"
"22",31,"M","United States","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"23",46,"M","United States","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"24",41,"M","United States","No","No","Yes","Never","More than 1000","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No"
"25",33,"M","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No"
"26",35,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No"
"27",33,"M","United States","No","No","No",NA,"1-5","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"28",35,"F","United States","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"29",34,"M","United States","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No"
"30",37,"M","United Kingdom","No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"31",32,"M","United Kingdom","No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"32",31,"M","United States","Yes","Yes","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes"
"33",30,"M","United Kingdom","No","Yes","Yes","Sometimes","500-1000","Yes","Yes","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Don't know","No"
"34",42,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No"
"35",40,"F","United States","No","No","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No"
"36",27,"M","United States","No","No","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"37",29,"M","Canada","No","No","No","Rarely","1-5","No","Yes","No","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Don't know","No"
"38",38,"M","Portugal","No","No","No",NA,"100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"39",50,"M","United States","No","No","No",NA,"100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"40",35,"M","United States","No","No","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"41",24,"M","United Kingdom","No","No","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes"
"42",35,"M","United States","No","No","No",NA,"More than 1000","Yes","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","Maybe","Don't know","No"
"43",27,"M","Canada","No","Yes","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","No","No","No","Yes","No"
"44",18,"M","Netherlands","No","No","No","Often","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No"
"45",30,"M","United States","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No"
"46",38,"F","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"47",28,"M","United Kingdom","No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No"
"48",34,"M","United States","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No"
"49",26,"M","Canada","Yes","No","No","Sometimes","1-5","No","Yes","No","Yes","Yes","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No"
"50",30,"M","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"51",22,"M","United States","No","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Don't know","No"
"52",33,"M","United States","No","No","No",NA,"100-500","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"53",31,"M","United States","No","No","No",NA,"100-500","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"54",32,"M","United States","No","No","No","Never","1-5","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"55",28,"M","Switzerland","No","No","No",NA,"100-500","No","Yes","No","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No"
"56",27,"M","United States","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"57",32,"M","United States","No","Yes","No",NA,"6-25","Yes","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"58",24,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No"
"59",26,"M","United States","No","No","No",NA,"26-100","No","No","No","No","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"60",33,"M","Canada","No","Yes","Yes","Often","6-25","Yes","Yes","Don't know","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","Don't know","No"
"61",44,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes"
"62",26,"F","Poland","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"63",27,"M","United Kingdom","No","No","No","Never","100-500","No","Yes","Yes","Not sure","No","Yes","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"64",26,"M","France","No","No","No",NA,"26-100","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","No","No","No","No","Yes"
"65",35,"M","Canada","No","No","No","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Don't know","No"
"66",40,"M","United States","No","Yes","No","Sometimes","More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes"
"67",23,"F","Australia","No","Yes","Yes","Often","1-5","Yes","Yes","No","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"68",36,"M","United States","No","No","No","Sometimes","100-500","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"69",31,"F","United States","No","No","No",NA,"26-100","Yes","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"70",34,"M","United States","Yes","No","No","Rarely","1-5","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No"
"71",28,"M","France","No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"72",34,"M","Canada","No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"74",38,"M","United Kingdom","No","No","No",NA,"26-100","No","Yes","No","No","No","Don't know","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"75",33,"M","United States","No","No","No","Never","More than 1000","No","Yes","Don't know","Not sure","Yes","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"76",19,"M","United Kingdom","No","No","No",NA,"1-5","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","No","No"
"77",25,"M","United States","No","No","No",NA,"More than 1000","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"78",31,"M","United States","Yes","Yes","No","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"79",32,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Yes","No","No"
"80",28,"M","Germany","No","No","No","Never","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"81",38,"M","United States","No","Yes","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No"
"82",23,"M","United Kingdom","No","No","No","Never","26-100","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"83",30,"M","Canada","No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","No","No"
"84",27,"F","United States","Yes","No","Yes","Often","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"85",33,"M","United States","No","Yes","No","Never","More than 1000","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"86",31,"M","United States","No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"87",39,"M","United Kingdom","Yes","No","Yes","Often","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","No","No","Maybe","No","Yes"
"88",34,"F","United States","No","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No"
"89",29,"F","United States","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"90",32,"M","United States","No","No","No",NA,"500-1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"91",31,"M","United States","No","No","No","Never","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"92",40,"M","United States","No","No","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","Yes","Yes","Yes","No","No"
"93",34,"M","United States","No","No","No",NA,"26-100","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"94",18,"M","Russia","No","No","No",NA,"26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"95",25,"F","Canada","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No"
"96",29,"M","United States","No","No","No","Never","26-100","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No"
"97",24,"M","United States","No","Yes","No","Rarely","26-100","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No"
"98",31,"M","Mexico","No","Yes","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","No","No"
"99",33,"M","United States","No","No","Yes","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","No","No"
"100",30,"M","United States","No","No","Yes","Often","1-5","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"101",26,"F","Canada","No","Yes","Yes","Sometimes","26-100","No","No","No","Yes","No","No","No","Very difficult","Yes","No","No","No","No","Maybe","No","Yes"
"102",44,"F","United States","No","No","No","Never","100-500","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"103",25,"M","United States","No","Yes","No",NA,"26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"104",33,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"105",29,"M","United States","No","No","No","Never","More than 1000","No","Yes","Yes","Not sure","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"106",35,"M","United States","No","Yes","No","Rarely","6-25","No","Yes","Yes","Not sure","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No"
"107",35,"M","United States","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No"
"108",28,"M","Brazil","No","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","No","Don't know","Maybe","No","Yes","Yes","No","No","Don't know","Yes"
"109",34,"M","United States","No","Yes","No","Never","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"110",32,"M","United States","No","No","Yes","Sometimes","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"111",22,"M","United States","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Don't know","Yes","Don't know","Yes","No","No","No","No","Yes","No","No"
"112",28,"M","United States","No","No","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"113",45,"M","United States","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No"
"114",32,"M","United States","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No"
"115",28,"M","United States","No","No","No",NA,"More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No"
"116",26,"M","United Kingdom","No","No","No","Never","6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Don't know","Yes"
"117",21,"M","United Kingdom","Yes","No","No","Often","1-5","Yes","No","No","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","Yes","No","Maybe","No","No"
"118",27,"M","Canada","No","No","No","Rarely","6-25","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"119",18,"M","United States","No","No","Yes","Rarely","1-5","Yes","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","No","No","No","Don't know","No"
"120",35,"M","United States","No","No","No",NA,"26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No"
"121",29,"M","United States","No","No","No","Never","More than 1000","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","No","No","No","No","Don't know","No"
"122",25,"M","United States","No","No","No",NA,"26-100","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Don't know","No"
"123",33,"M","United States","No","Yes","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","Don't know","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No"
"124",36,"M","United States","No","No","No","Often","6-25","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"125",27,"M","Canada","No","No","Yes","Never","100-500","No","No","Yes","Not sure","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","No","Yes"
"126",27,"M","United States","No","Yes","No","Never","500-1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Yes","No","Some of them","No","No","Yes","Don't know","No"
"127",27,"M","United Kingdom","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No"
"128",32,"M","United States","No","No","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Yes","No","No","Yes","No","No","Don't know","No"
"129",31,"M","United Kingdom","No","Yes","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Yes","No"
"130",19,"M","Slovenia","No","No","Yes","Sometimes","6-25","No","Yes","Don't know","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Don't know","No"
"131",33,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Some of them","No","Yes","No","No"
"132",32,"M","United States","No","No","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Some of them","No","Yes","Don't know","No"
"133",27,"M","United States","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No"
"134",38,"M","Costa Rica","No","No","No",NA,"26-100","Yes","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","No","No"
"135",24,"M","Canada","No","No","Yes","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","No"
"136",39,"M","United Kingdom","No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No"
"137",28,"M","United Kingdom","No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"138",39,"M","United States","No","No","Yes","Often","More than 1000","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Don't know","No"
"139",29,"F","United States","No","No","No",NA,"6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No"
"140",22,"M","Austria","No","No","No",NA,"6-25","Yes","Yes","Don't know","No","Don't know","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No"
"141",38,"M","United States","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No"
"142",37,"M","United Kingdom","Yes","No","Yes","Sometimes","More than 1000","No","No","No","Yes","Yes","Yes","Yes","Very difficult","Yes","Yes","Some of them","No","No","Maybe","Yes","No"
"143",35,"M","United States","No","No","No","Never","26-100","Yes","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No"
"145",30,"F","United States","No","Yes","No",NA,"More than 1000","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No"
"146",37,"M","United States","No","Yes","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No"
"147",24,"M","United Kingdom","No","No","No","Never","6-25","No","Yes","No","No","No","No","Yes","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No"
"148",23,"M","United States","No","No","No","Sometimes","6-25","No","No","No","No","No","No","No","Somewhat easy","Yes","Yes","No","No","No","No","No","No"
"149",30,"M","Ireland","No","No","Yes","Rarely","100-500","No","Yes","No","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","No","Yes"
"150",29,"F","United States","No","No","No",NA,"100-500","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No"
"151",19,"M","Canada","Yes","Yes","No",NA,"1-5","Yes","Yes","Don't know","Not sure","No","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"152",32,"M","United States","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Some of them","No","Maybe","No","No"
"153",28,"M","Poland","No","No","No","Rarely","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"154",36,"M","United States","No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"155",37,"M","United Kingdom","No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat difficult","Yes","Maybe","Some of them","No","No","Yes","No","Yes"
"156",25,"M","United States","No","Yes","Yes","Sometimes","26-100","No","No","Don't know","No","No","Don't know","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"157",27,"M","United States","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Don't know","No"
"158",26,"M","United States","No","No","No","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Maybe","Some of them","Yes","No","Maybe","No","No"
"159",27,"M","United States","No","No","Yes","Rarely","26-100","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","Don't know","Yes"
"160",25,"M","United States","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","Maybe","No","Some of them","No","No","No","Don't know","Yes"
